no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category
480.0,2023-10-27,Hasbaya,2023-10-26,406.24,400.0,142.0,742.8435374,5.231292517,78.075,88.5,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,16.6,2.176,7.62867647058824,0,high
481.0,2023-10-27,Hasbaya,2023-10-26,293.79,290.0,83.0,383.3809524,4.619047619,65.56,82.76,False,True,False,0.8518518518518519,1,True,30.04,167.0,25.37,16.0,1.87733333333333,8.52272727272729,2,moderate
482.0,2023-10-27,Hasbaya,2023-10-26,351.33,340.0,103.0,492.2355072,4.778985507,65.255,80.99,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,15.6,3.712,4.20258620689655,2,high
483.0,2023-10-27,Hasbaya,2023-10-26,374.85,360.0,126.0,584.3478261,4.637681159,67.575,86.8,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,17.8,4.43733333333333,4.01141826923077,2,high
484.0,2023-10-27,Hasbaya,2023-10-26,236.75,240.0,74.0,332.4637681,4.492753623,59.54,73.74,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,17.4,3.136,5.5484693877551,2,moderate
485.0,2023-10-27,Hasbaya,2023-10-26,362.16,360.0,96.0,432.3478261,4.503623188,71.965,84.55,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,15.2,2.51733333333333,6.03813559322035,2,high
486.0,2023-10-27,Hasbaya,2023-10-26,338.68,330.0,98.0,559.5942029,5.710144928,72.045,80.9,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,16.0,2.90133333333333,5.51470588235295,2,high
487.0,2023-10-27,Hasbaya,2023-10-26,420.83,420.0,121.0,586.5869565,4.847826087,76.905,92.45,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,16.5,3.392,4.86438679245283,0,high
488.0,2023-10-27,Hasbaya,2023-10-26,423.38,420.0,136.0,678.5217391,4.989130435,78.445,86.35,False,True,False,0.8518518518518519,1,True,30.04,167.0,25.37,16.2,1.68533333333333,9.61234177215192,0,high
489.0,2023-10-27,Hasbaya,2023-10-26,508.16,450.0,142.0,944.6086957,6.652173913,82.435,106.13,False,True,False,0.8518518518518519,1,True,30.04,167.0,25.37,16.2,1.70666666666667,9.49218749999998,0,high
490.0,2023-10-27,Hasbaya,2023-10-26,459.58,400.0,140.0,1057.101449,7.550724638,78.155,96.05,False,True,False,0.8518518518518519,1,False,30.04,167.0,25.37,16.2,2.176,7.44485294117647,0,high
491.0,2023-10-31,ElJahliye,2023-10-30,173.09,170.0,46.0,103.3333333,2.246376812,53.92,63.74,True,False,False,1.0,1,True,44.57,67.0,22.18,14.4,1.6,9.0,1,low
492.0,2023-10-31,ElJahliye,2023-10-30,171.36,160.0,56.0,163.7391304,2.923913043,56.21,64.08,True,False,False,1.0,1,True,44.57,67.0,22.18,16.0,1.62133333333333,9.8684210526316,1,low
493.0,2023-10-31,ElJahliye,2023-10-30,213.12,210.0,59.0,150.4927536,2.550724638,58.425,69.31,True,False,False,1.0,1,True,44.57,67.0,22.18,15.0,1.70666666666667,8.78906249999998,1,low
494.0,2023-10-31,ElJahliye,2023-10-30,236.23,230.0,74.0,195.1884058,2.637681159,59.95,73.22,True,False,False,1.0,1,True,44.57,67.0,22.18,15.2,1.81333333333333,8.38235294117649,1,low
495.0,2023-10-31,ElJahliye,2023-10-30,157.89,150.0,46.0,114.5,2.489130435,55.115,63.78,True,False,False,1.0,1,True,44.57,67.0,22.18,15.2,1.81333333333333,8.38235294117649,1,low
496.0,2023-10-31,ElJahliye,2023-10-30,207.63,200.0,64.0,212.173913,3.315217391,59.56,68.42,True,False,False,1.0,1,True,44.57,67.0,22.18,15.0,1.57866666666667,9.50168918918917,1,moderate
497.0,2023-10-31,ElJahliye,2023-10-30,130.95,130.0,36.0,88.56521739,2.460144928,56.54,60.94,True,False,False,1.0,1,False,44.57,67.0,22.18,15.0,2.02666666666667,7.40131578947367,1,low
498.0,2023-10-31,ElJahliye,2023-10-30,124.04,120.0,36.0,94.82608696,2.634057971,48.82,59.77,True,False,False,1.0,1,False,44.57,67.0,22.18,15.4,2.176,7.07720588235294,1,low
499.0,2023-10-31,ElJahliye,2023-10-30,193.04,190.0,60.0,175.0,2.916666667,57.105,68.99,True,False,False,1.0,1,True,44.57,67.0,22.18,15.0,1.64266666666667,9.13149350649349,1,low
500.0,2023-10-31,ElJahliye,2023-10-30,155.23,150.0,47.0,146.2789855,3.112318841,52.725,61.39,True,False,False,1.0,1,False,44.57,67.0,22.18,15.0,2.28266666666667,6.57126168224298,1,low
501.0,2023-10-31,ElJahliye,2023-10-30,148.33,140.0,48.0,122.4347826,2.550724638,52.03,62.71,True,False,False,1.0,1,False,44.57,67.0,22.18,15.2,2.304,6.59722222222222,1,low
502.0,2023-10-31,ElJahliye,2023-10-30,113.57,110.0,36.0,97.69565217,2.713768116,41.305,51.91,True,False,False,1.0,1,False,44.57,67.0,22.18,15.0,1.96266666666667,7.64266304347825,1,low
503.0,2023-10-31,ElJahliye,2023-10-30,117.31,110.0,39.0,143.5652174,3.68115942,48.215,54.81,True,False,False,1.0,1,True,44.57,67.0,22.18,15.4,1.83466666666667,8.39389534883719,1,low
504.0,2023-11-08,Hasbaya,2023-11-07,309.15,300.0,119.0,372.0905797,3.126811594,70.91,87.27,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,16.2,10.624,1.52484939759036,2,moderate
505.0,2023-11-08,Hasbaya,2023-11-07,332.45,320.0,113.0,727.5398551,6.438405797,75.36,83.81,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,7.2,2.496,2.88461538461538,2,high
506.0,2023-11-08,Hasbaya,2023-11-07,455.13,450.0,153.0,843.1630435,5.510869565,74.875,95.05,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,17.5,9.36533333333333,1.86859339407745,0,high
507.0,2023-11-08,Hasbaya,2023-11-07,189.75,180.0,56.0,202.0869565,3.608695652,57.54,67.12,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,16.8,12.736,1.31909547738693,2,moderate
508.0,2023-11-08,Hasbaya,2023-11-07,136.83,130.0,138.0,588.5,4.264492754,49.45,63.76,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,16.8,3.37066666666667,4.98417721518987,2,high
509.0,2023-11-08,Hasbaya,2023-11-07,111.15,100.0,35.0,132.2644928,3.778985507,45.3,60.11,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,15.4,1.89866666666667,8.11095505617976,2,low
510.0,2023-11-08,Hasbaya,2023-11-07,147.26,140.0,49.0,189.7862319,3.873188406,51.0,64.11,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,16.2,2.26133333333333,7.16391509433963,2,low
511.0,2023-11-08,Hasbaya,2023-11-07,296.15,290.0,92.0,425.6666667,4.626811594,68.91,80.06,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,16.5,1.856,8.89008620689655,2,high
