no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category,mean_R,mean_G,mean_B,mean_intensity,variance_intensity,skewness_intensity,kurtosis_intensity,median_intensity,mode_intensity,mean_a,mean_b,mean_L,mean_intensity_lab,variance_intensity_lab,skewness_intensity_lab,kurtosis_intensity_lab,median_intensity_lab,mode_intensity_lab
14.0,2023-09-05,Hasbaya,2023-09-04,117.82,140.0,68.0,126.1449275,1.855072464,57.715,68.64,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.0,1.968,5.58943089430894,2,low,151.67672,127.30126,109.04292,0.0,833.7249225766666,21476.027318409622,2451301.063754443,126.0,128.0,151.67672,127.30126,109.04292,0.0,833.7249225766666,21476.027318409622,2451301.063754443,126.0,128.0
15.0,2023-09-05,Hasbaya,2023-09-04,220.95,200.0,61.0,142.5859213,2.33747412,67.14,76.47,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.5,1.968,6.35162601626016,2,low,155.54406,118.9591,118.67652,0.0,593.3653327886221,19071.310355487847,1298105.7702729963,126.0,128.0,155.54406,118.9591,118.67652,0.0,593.3653327886221,19071.310355487847,1298105.7702729963,126.0,128.0
16.0,2023-09-05,Hasbaya,2023-09-04,263.7,250.0,100.0,108.2815735,1.082815735,66.05,79.81,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,10.0,1.664,6.00961538461538,2,low,164.91032,118.34992,122.06674,0.0,771.1972871199555,24952.718089599464,1858002.1932991187,125.0,125.0,164.91032,118.34992,122.06674,0.0,771.1972871199555,24952.718089599464,1858002.1932991187,125.0,125.0
17.0,2023-09-05,Hasbaya,2023-09-04,198.46,190.0,68.0,117.2753623,1.724637681,58.4,76.84,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,7.4,1.792,4.12946428571429,2,low,172.3728,122.99796,123.52272,0.0,765.0496503877333,17918.570397227104,1389337.0437190894,128.0,125.0,172.3728,122.99796,123.52272,0.0,765.0496503877333,17918.570397227104,1389337.0437190894,128.0,125.0
18.0,2023-09-05,Hasbaya,2023-09-04,146.03,140.0,48.0,82.88198758,1.726708075,47.52,62.08,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.2,2.128,6.20300751879699,2,low,170.46684,121.8396,118.97324,0.0,938.7681887886222,31072.515969373555,2574347.6753727943,125.0,125.0,170.46684,121.8396,118.97324,0.0,938.7681887886222,31072.515969373555,2574347.6753727943,125.0,125.0
19.0,2023-09-05,Hasbaya,2023-09-04,143.9,140.0,53.0,111.9254658,2.111801242,52.24,63.83,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,10.6,2.24,4.73214285714286,2,low,162.60582,117.79546,125.59708,0.0,830.4571197011556,25041.146721528337,2071699.0544979395,126.0,126.0,162.60582,117.79546,125.59708,0.0,830.4571197011556,25041.146721528337,2071699.0544979395,126.0,126.0
20.0,2023-09-05,Hasbaya,2023-09-04,181.34,170.0,61.0,108.4865424,1.778467909,55.18,69.48,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.6,2.368,4.89864864864865,2,low,151.33904,119.06354,118.28,0.0,753.1253360604001,26731.498125720344,2298195.51563802,125.0,127.0,151.33904,119.06354,118.28,0.0,753.1253360604001,26731.498125720344,2298195.51563802,125.0,127.0
21.0,2023-09-05,Hasbaya,2023-09-04,108.66,150.0,32.0,50.55072464,1.579710145,41.89,54.42,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.8,2.464,5.19480519480519,2,low,163.28742,119.10028,117.39736,0.0,806.4235534218221,28824.55677153757,2205544.0758236116,125.0,128.0,163.28742,119.10028,117.39736,0.0,806.4235534218221,28824.55677153757,2205544.0758236116,125.0,128.0
22.0,2023-09-05,Hasbaya,2023-09-04,157.77,100.0,60.0,150.0621118,2.501035197,56.375,67.43,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.0,2.336,5.56506849315068,2,low,158.8065,127.55126,115.42014,0.0,1094.9613790655555,23002.70585472902,3377332.13000118,128.0,128.0,158.8065,127.55126,115.42014,0.0,1094.9613790655555,23002.70585472902,3377332.13000118,128.0,128.0
23.0,2023-09-05,Hasbaya,2023-09-04,246.62,250.0,92.0,243.4285714,2.645962733,65.635,75.88,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.5,2.304,5.859375,2,moderate,157.14744,119.8204,116.3433,0.0,841.9878768778223,35729.711169733724,2991103.6115089995,125.0,128.0,157.14744,119.8204,116.3433,0.0,841.9878768778223,35729.711169733724,2991103.6115089995,125.0,128.0
24.0,2023-09-08,ElJahliye,2023-09-07,133.76,140.0,43.0,73.3581781,1.706004141,56.485,62.2,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.1,1.952,5.68647540983607,1,low,150.71434,119.84436,116.17378,0.0,626.208034783289,19649.451629227817,1700373.3088036575,124.0,128.0,150.71434,119.84436,116.17378,0.0,626.208034783289,19649.451629227817,1700373.3088036575,124.0,128.0
25.0,2023-09-08,ElJahliye,2023-09-07,108.61,100.0,38.0,59.6356108,1.569358178,49.11,53.71,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.2,2.88,4.23611111111111,1,low,144.8727,125.26724,113.78276,0.0,1049.0381827455553,23455.616861966602,3750703.4454192244,126.0,128.0,144.8727,125.26724,113.78276,0.0,1049.0381827455553,23455.616861966602,3750703.4454192244,126.0,128.0
26.0,2023-09-08,ElJahliye,2023-09-07,152.39,140.0,53.0,84.4927536,1.594202899,58.5,63.76,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.9,2.016,5.90277777777778,1,low,140.63842,131.55668,105.9549,0.0,943.5571933333335,20296.59745600001,2914601.6982779833,126.0,128.0,140.63842,131.55668,105.9549,0.0,943.5571933333335,20296.59745600001,2914601.6982779833,126.0,128.0
27.0,2023-09-08,ElJahliye,2023-09-07,153.66,150.0,52.0,99.8012422,1.919254658,56.32,64.67,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.0,2.112,5.68181818181818,1,low,171.1782,120.50684,121.98424,0.0,887.6423538090668,29098.143378982768,2262855.2319566174,127.0,128.0,171.1782,120.50684,121.98424,0.0,887.6423538090668,29098.143378982768,2262855.2319566174,127.0,128.0
28.0,2023-09-08,ElJahliye,2023-09-07,212.93,200.0,73.0,163.985507,2.246376812,65.37,73.96,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.8,2.176,5.42279411764706,1,low,161.49384,117.32024,123.20182,0.0,776.0129252433335,27402.870454339743,2004587.3046704815,126.0,128.0,161.49384,117.32024,123.20182,0.0,776.0129252433335,27402.870454339743,2004587.3046704815,126.0,128.0
29.0,2023-09-08,ElJahliye,2023-09-07,236.54,220.0,81.0,169.881988,2.097308489,65.07,74.14,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.0,2.144,5.59701492537313,1,low,166.00038,118.16872,125.6196,0.0,859.7610324788889,27862.861477053753,2128859.0246723285,126.0,128.0,166.00038,118.16872,125.6196,0.0,859.7610324788889,27862.861477053753,2128859.0246723285,126.0,128.0
30.0,2023-09-08,ElJahliye,2023-09-07,159.69,150.0,54.0,135.391304,2.507246377,55.155,68.41,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,15.0,2.496,6.00961538461538,1,low,169.6896,120.67266,123.3297,0.0,816.3589634842665,24256.91329768564,1767144.8684563972,127.0,128.0,169.6896,120.67266,123.3297,0.0,816.3589634842665,24256.91329768564,1767144.8684563972,127.0,128.0
