no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,color_intensity_n,color_intensity_d,color_intensity,dilution,precipitation,day_time_diff_harvesting,day_time_diff_receiving,days_since_harvesting,normalized_days_since_harvesting,harvesting_mapping
113.0,2023-09-20,Rachiine,2023-09-20,413.85,390.0,94.0,153.533333,1.633333,81.665,93.59,False,False,True,0.62963,0,False,69.15,136.0,24.0,15.0,2.0608,7.278726708074535,1.5267,0.0,1.5267,False,0.0,0.6296296296296297,0.5925925925925926,0,0.0,0.2222222222222222
114.0,2023-09-20,Rachiine,2023-09-20,490.89,480.0,124.0,167.813333,1.353333,85.52,94.98,False,False,True,0.62963,0,False,69.15,136.0,24.0,14.1,1.4656000000000002,9.620633187772924,1.584,0.0,1.584,False,0.0,0.6296296296296297,0.5925925925925926,0,0.0,0.2222222222222222
115.0,2023-09-20,Rachiine,2023-09-20,449.55,430.0,135.0,187.2,1.386667,77.19,88.03,False,False,True,0.62963,0,False,69.15,136.0,24.0,14.8,1.9648000000000003,7.532573289902278,1.7025,0.0,1.7025,False,0.0,0.6296296296296297,0.5925925925925926,0,0.0,0.2222222222222222
116.0,2023-09-21,Hasbaya,2023-09-20,230.66,220.0,84.0,299.88,3.57,61.935,77.13,False,True,False,0.62963,1,False,61.51,237.0,22.45,12.2,0.384,31.77083333333333,1.8421,0.0,1.8421,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
117.0,2023-09-21,Hasbaya,2023-09-20,236.73,220.0,91.0,349.136667,3.836667,62.69,77.88,False,True,False,0.62963,1,False,61.51,237.0,22.45,15.0,0.4991999999999999,30.048076923076923,2.5255,0.0,2.5255,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
118.0,2023-09-21,Hasbaya,2023-09-20,170.78,150.0,60.0,226.0,3.766667,55.085,69.67,False,True,False,0.62963,1,True,61.51,237.0,22.45,15.4,0.4352,35.3860294117647,2.2292,0.0,2.2292,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
119.0,2023-09-21,Hasbaya,2023-09-20,173.08,160.0,59.0,238.753333,4.046667,58.08,68.06,False,True,False,0.62963,1,True,61.51,237.0,22.45,15.6,0.544,28.67647058823529,1.8293,0.0,1.8293,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
120.0,2023-09-21,Hasbaya,2023-09-20,209.79,200.0,75.0,257.75,3.436667,62.88,72.41,False,True,False,0.62963,1,True,61.51,237.0,22.45,16.0,0.4992,32.051282051282044,1.8085,0.0,1.8085,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
121.0,2023-09-21,Hasbaya,2023-09-20,189.17,180.0,66.0,225.28,3.413333,58.89,75.32,False,True,False,0.62963,1,False,61.51,237.0,22.45,15.0,0.4224,35.51136363636363,2.3575,0.0,2.3575,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
122.0,2023-09-21,Hasbaya,2023-09-20,194.95,180.0,69.0,244.72,3.546667,61.095,74.24,False,True,False,0.62963,1,False,61.51,237.0,22.45,14.9,0.5312000000000001,28.04969879518072,4.7572,0.0,4.7572,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
123.0,2023-09-21,Hasbaya,2023-09-20,236.93,220.0,89.0,344.133333,3.866667,63.92,80.37,False,True,False,0.62963,1,False,61.51,237.0,22.45,14.1,0.5696000000000001,24.754213483146064,2.4566,0.0,2.4566,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
124.0,2023-09-21,Hasbaya,2023-09-20,171.65,170.0,53.0,120.31,2.27,56.34,67.65,False,True,False,0.62963,1,True,61.51,237.0,22.45,15.5,0.4544,34.110915492957744,2.251,0.0,2.251,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
125.0,2023-09-21,Hasbaya,2023-09-20,298.11,280.0,117.0,235.56,2.013333,69.815,79.7,False,True,False,0.62963,1,False,61.51,237.0,22.45,13.2,0.4032000000000001,32.73809523809523,1.9573,0.0,1.9573,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
126.0,2023-09-21,Hasbaya,2023-09-20,226.58,210.0,80.0,127.466667,1.593333,64.285,75.09,False,True,False,0.62963,1,False,61.51,237.0,22.45,14.8,0.3392,43.6320754716981,2.0114,0.0,2.0114,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
127.0,2023-09-21,Hasbaya,2023-09-20,264.57,250.0,96.0,203.52,2.12,71.755,77.14,False,True,False,0.62963,1,False,61.51,237.0,22.45,11.2,0.3135999999999999,35.714285714285715,2.4387,0.0,2.4387,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
128.0,2023-09-21,Hasbaya,2023-09-20,300.01,290.0,80.0,334.933333,4.186667,72.375,91.54,False,True,False,0.62963,1,False,61.51,237.0,22.45,15.0,0.384,39.0625,0.0,2.885973,2.885973,True,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
129.0,2023-09-21,Hasbaya,2023-09-20,173.52,160.0,61.0,105.936667,1.736667,57.125,75.08,False,True,False,0.62963,1,False,61.51,237.0,22.45,15.0,0.4928,30.43831168831169,2.2695,0.0,2.2695,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
130.0,2023-09-21,Hasbaya,2023-09-20,250.93,240.0,98.0,159.413333,1.626667,60.97,74.19,False,True,False,0.62963,1,False,61.51,237.0,22.45,12.2,0.4096,29.78515625,2.1331,0.0,2.1331,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
131.0,2023-09-21,Hasbaya,2023-09-20,227.79,220.0,84.0,212.24,2.526667,63.69,75.56,False,True,False,0.62963,1,True,61.51,237.0,22.45,16.0,0.5696000000000001,28.08988764044944,2.5961,0.0,2.5961,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
132.0,2023-09-21,Hasbaya,2023-09-20,290.73,280.0,112.0,162.026667,1.446667,66.415,77.53,False,True,False,0.62963,1,False,61.51,237.0,22.45,14.8,0.3712,39.870689655172406,0.0,2.836091,2.836091,True,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
133.0,2023-09-21,Hasbaya,2023-09-20,257.55,250.0,89.0,183.933333,2.066667,65.155,77.79,False,True,False,0.62963,1,False,61.51,237.0,22.45,15.0,0.4352,34.46691176470588,0.0,3.625269,3.625269,True,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
134.0,2023-09-21,Hasbaya,2023-09-20,248.64,240.0,91.0,155.306667,1.706667,60.125,76.15,False,True,False,0.62963,1,True,61.51,237.0,22.45,15.4,0.4544,33.890845070422536,1.6941,0.0,1.6941,False,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
135.0,2023-09-21,Hasbaya,2023-09-20,279.76,260.0,98.0,242.713333,2.476667,67.53,81.33,False,True,False,0.62963,1,False,61.51,237.0,22.45,11.0,0.4352,25.275735294117645,0.0,3.51852,3.51852,True,0.0,0.6296296296296297,0.6296296296296297,1,0.25,0.2222222222222222
136.0,2023-09-25,ElJahliye,2023-09-24,224.91,220.0,75.0,222.596154,2.967949,64.535,72.25,True,False,False,0.777778,1,False,51.72,180.0,23.39,14.8,0.4352,34.00735294117647,1.8999,0.0,1.8999,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
137.0,2023-09-25,ElJahliye,2023-09-24,142.27,140.0,48.0,126.0,2.625,52.46,63.13,True,False,False,0.777778,1,True,51.72,180.0,23.39,15.5,0.4096,37.84179687499999,2.4135,0.0,2.4135,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
138.0,2023-09-25,ElJahliye,2023-09-24,142.17,140.0,45.0,142.355769,3.163462,51.4,62.23,True,False,False,0.777778,1,False,51.72,180.0,23.39,13.0,0.3583999999999999,36.27232142857144,2.7968,0.0,2.7968,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
139.0,2023-09-25,ElJahliye,2023-09-24,132.68,130.0,43.0,118.25,2.75,52.385,61.91,True,False,False,0.777778,1,False,51.72,180.0,23.39,14.4,0.4352,33.088235294117645,1.484,0.0,1.484,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
140.0,2023-09-25,ElJahliye,2023-09-24,132.29,130.0,44.0,160.769231,3.653846,51.795,61.03,True,False,False,0.777778,1,False,51.72,180.0,23.39,15.0,0.4224,35.51136363636363,2.8889,0.0,2.8889,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
141.0,2023-09-25,ElJahliye,2023-09-24,214.41,200.0,73.0,201.217949,2.75641,59.275,74.12,True,False,False,0.777778,1,False,51.72,180.0,23.39,14.0,0.4672,29.965753424657528,1.9588,0.0,1.9588,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
142.0,2023-09-25,ElJahliye,2023-09-24,132.83,130.0,46.0,122.519231,2.663462,53.13,66.87,True,False,False,0.777778,1,False,51.72,180.0,23.39,14.4,0.4736,30.4054054054054,2.693,0.0,2.693,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
143.0,2023-09-25,ElJahliye,2023-09-24,132.6,130.0,43.0,153.11859,3.560897,50.405,58.49,True,False,False,0.777778,1,True,51.72,180.0,23.39,15.4,0.4864,31.66118421052631,1.9821,0.0,1.9821,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
144.0,2023-09-25,ElJahliye,2023-09-24,174.89,160.0,59.0,152.605769,2.586538,54.98,69.06,True,False,False,0.777778,1,True,51.72,180.0,23.39,15.2,0.4352,34.92647058823529,3.0934,0.0,3.0934,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
145.0,2023-09-25,ElJahliye,2023-09-24,173.57,170.0,54.0,147.634615,2.733974,57.545,71.85,True,False,False,0.777778,1,True,51.72,180.0,23.39,15.1,0.4736,31.88344594594594,1.7712,0.0,1.7712,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
146.0,2023-09-25,ElJahliye,2023-09-24,186.42,180.0,67.0,162.990385,2.432692,62.58,67.52,True,False,False,0.777778,1,False,51.72,180.0,23.39,12.2,0.384,31.77083333333333,2.9682,0.0,2.9682,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
147.0,2023-09-25,ElJahliye,2023-09-24,84.66,80.0,30.0,75.096154,2.503205,42.675,54.16,True,False,False,0.777778,1,False,51.72,180.0,23.39,12.0,0.3072,39.06249999999999,0.0,2.56852,2.56852,True,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
148.0,2023-09-25,ElJahliye,2023-09-24,233.04,230.0,90.0,126.346154,1.403846,65.715,81.23,True,False,False,0.777778,1,False,51.72,180.0,23.39,15.0,0.4672,32.10616438356164,3.1088,0.0,3.1088,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
149.0,2023-09-25,ElJahliye,2023-09-24,217.37,220.0,82.0,154.538462,1.884615,63.72,75.17,True,False,False,0.777778,1,False,51.72,180.0,23.39,12.0,0.4288,27.98507462686567,2.1942,0.0,2.1942,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
150.0,2023-09-25,ElJahliye,2023-09-24,293.0,270.0,100.0,230.128205,2.301282,72.86,81.6,True,False,False,0.777778,1,False,51.72,180.0,23.39,12.9,0.3776,34.16313559322034,2.4143,0.0,2.4143,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
151.0,2023-09-25,ElJahliye,2023-09-24,229.15,220.0,87.0,195.471154,2.246795,61.975,75.43,True,False,False,0.777778,1,False,51.72,180.0,23.39,14.4,0.416,34.61538461538461,2.7391,0.0,2.7391,False,0.0,0.7777777777777778,0.7777777777777778,1,0.25,0.2777777777777778
154.0,2023-09-28,Hasbaya,2023-09-27,309.83,300.0,118.0,262.852564,2.227564,71.55,84.51,False,True,False,0.888889,1,False,53.4,228.0,22.36,12.4,0.3648,33.99122807017544,1.0137,0.0,1.0137,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
155.0,2023-09-28,Hasbaya,2023-09-27,260.06,250.0,95.0,244.198718,2.570513,67.215,80.67,False,True,False,0.888889,1,False,53.4,228.0,22.36,13.8,0.4608000000000001,29.94791666666666,1.1463,0.0,1.1463,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
156.0,2023-09-28,Hasbaya,2023-09-27,138.61,130.0,47.0,139.49359,2.967949,58.27,72.63,False,True,False,0.888889,1,False,53.4,228.0,22.36,14.5,0.4544,31.910211267605632,0.7644,0.0,0.7644,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
157.0,2023-09-28,Hasbaya,2023-09-27,176.55,170.0,65.0,163.333333,2.512821,57.615,66.98,False,True,False,0.888889,1,False,53.4,228.0,22.36,13.0,0.3648,35.6359649122807,1.1801,0.0,1.1801,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
158.0,2023-09-28,Hasbaya,2023-09-27,231.44,230.0,71.0,172.721154,2.432692,63.645,83.29,False,True,False,0.888889,1,True,53.4,228.0,22.36,16.0,0.4032000000000001,39.68253968253967,1.7766,0.0,1.7766,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
159.0,2023-09-28,Hasbaya,2023-09-27,257.63,250.0,96.0,204.307692,2.128205,65.71,77.92,False,True,False,0.888889,1,True,53.4,228.0,22.36,16.0,0.4608000000000001,34.722222222222214,1.3834,0.0,1.3834,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
160.0,2023-09-28,Hasbaya,2023-09-27,169.46,160.0,58.0,204.858974,3.532051,56.215,71.96,False,True,False,0.888889,1,False,53.4,228.0,22.36,13.5,0.3264,41.36029411764706,1.813,0.0,1.813,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
161.0,2023-09-28,Hasbaya,2023-09-27,176.0,170.0,53.0,319.358974,6.025641,57.205,72.63,False,True,False,0.888889,1,True,53.4,228.0,22.36,15.2,0.4416,34.42028985507246,1.5141,0.0,1.5141,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
162.0,2023-09-28,Hasbaya,2023-09-27,250.06,250.0,94.0,322.371795,3.429487,65.37,78.18,False,True,False,0.888889,1,False,53.4,228.0,22.36,12.0,0.2688,44.64285714285714,1.483,0.0,1.483,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
163.0,2023-09-28,Hasbaya,2023-09-27,202.67,200.0,76.0,167.589744,2.205128,60.665,70.53,False,True,False,0.888889,1,True,53.4,228.0,22.36,15.4,0.4416,34.8731884057971,1.6247,0.0,1.6247,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
164.0,2023-09-28,Hasbaya,2023-09-27,314.98,300.0,93.0,405.384615,4.358974,67.38,80.01,False,True,False,0.888889,1,False,53.4,228.0,22.36,15.0,0.3583999999999999,41.85267857142858,0.0,3.381831,3.381831,True,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
165.0,2023-09-28,Hasbaya,2023-09-27,240.42,230.0,85.0,318.75,3.75,68.505,76.47,False,True,False,0.888889,1,False,53.4,228.0,22.36,14.0,0.3968,35.28225806451613,1.2654,0.0,1.2654,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
166.0,2023-09-28,Hasbaya,2023-09-27,319.29,300.0,94.0,300.679487,3.198718,71.24,82.88,False,True,False,0.888889,1,False,53.4,228.0,22.36,13.5,0.32,42.1875,0.0,2.739175,2.739175,True,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
167.0,2023-09-28,Hasbaya,2023-09-27,169.63,160.0,53.0,163.416667,3.083333,56.66,67.03,False,True,False,0.888889,1,True,53.4,228.0,22.36,17.2,0.4736,36.31756756756756,2.4324,0.0,2.4324,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
168.0,2023-09-28,Hasbaya,2023-09-27,163.97,160.0,55.0,138.557692,2.519231,117.18,67.09,False,True,False,0.888889,1,False,53.4,228.0,22.36,12.0,0.3648,32.89473684210526,3.2918,0.0,3.2918,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
169.0,2023-09-28,Hasbaya,2023-09-27,244.76,240.0,87.0,162.846154,1.871795,70.29,81.38,False,True,False,0.888889,1,False,53.4,228.0,22.36,13.0,0.3648,35.6359649122807,1.7769,0.0,1.7769,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
170.0,2023-09-28,Hasbaya,2023-09-27,165.47,160.0,53.0,192.634615,3.634615,57.155,64.3,False,True,False,0.888889,1,True,53.4,228.0,22.36,15.2,0.4736,32.09459459459459,2.1975,0.0,2.1975,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
171.0,2023-09-28,Hasbaya,2023-09-27,191.58,190.0,61.0,152.891026,2.50641,57.385,70.99,False,True,False,0.888889,1,False,53.4,228.0,22.36,13.0,0.384,33.854166666666664,2.4329,0.0,2.4329,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
172.0,2023-09-28,Hasbaya,2023-09-27,164.27,160.0,53.0,121.628205,2.294872,56.355,67.79,False,True,False,0.888889,1,True,53.4,228.0,22.36,17.4,0.2752,63.22674418604651,1.4105,0.0,1.4105,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
173.0,2023-09-28,Hasbaya,2023-09-27,224.49,220.0,85.0,292.323718,3.439103,62.03,75.29,False,True,False,0.888889,1,False,53.4,228.0,22.36,15.0,0.4608000000000001,32.55208333333333,1.9024,0.0,1.9024,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
174.0,2023-09-28,Hasbaya,2023-09-27,238.4,230.0,89.0,257.301282,2.891026,56.375,75.54,False,True,False,0.888889,1,False,53.4,228.0,22.36,13.2,0.2858666666666667,46.175373134328346,1.1863,0.0,1.1863,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
175.0,2023-09-28,Hasbaya,2023-09-27,134.24,130.0,45.0,148.990385,3.310897,51.18,63.54,False,True,False,0.888889,1,True,53.4,228.0,22.36,15.2,0.2986666666666666,50.89285714285714,1.6432,0.0,1.6432,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
176.0,2023-09-28,Hasbaya,2023-09-27,256.04,250.0,96.0,364.923077,3.801282,64.545,81.86,False,True,False,0.888889,1,False,53.4,228.0,22.36,14.4,0.32,45.0,2.0907,0.0,2.0907,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
177.0,2023-09-28,Hasbaya,2023-09-27,215.83,200.0,74.0,206.583333,2.791667,60.295,77.18,False,True,False,0.888889,1,False,53.4,228.0,22.36,14.5,0.2602666666666667,55.71209016393442,1.8635,0.0,1.8635,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
178.0,2023-09-28,Hasbaya,2023-09-27,315.9,300.0,140.0,398.012821,2.842949,64.89,79.5,False,True,False,0.888889,1,False,53.4,228.0,22.36,12.6,0.2944,42.79891304347826,1.4165,0.0,1.4165,False,0.0,0.8888888888888888,0.8888888888888888,1,0.25,0.3194444444444444
179.0,2023-09-28,Rachiine,2023-09-28,368.67,360.0,139.0,271.317308,1.951923,81.935,87.03,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.2,0.4032000000000001,35.218253968253954,2.187,0.0,2.187,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
180.0,2023-09-28,Rachiine,2023-09-28,369.02,360.0,110.0,191.794872,1.74359,79.57,91.25,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.0,0.3968,35.28225806451613,1.8194,0.0,1.8194,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
181.0,2023-09-28,Rachiine,2023-09-28,339.79,330.0,116.0,238.320513,2.054487,76.855,83.98,False,False,True,0.925926,0,False,59.34,237.0,24.85,12.0,0.4224,28.409090909090907,1.7417,0.0,1.7417,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
182.0,2023-09-28,Rachiine,2023-09-28,295.13,280.0,113.0,250.990385,2.221154,76.215,80.74,False,False,True,0.925926,0,False,59.34,237.0,24.85,13.5,0.4416,30.57065217391304,1.4505,0.0,1.4505,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
183.0,2023-09-28,Rachiine,2023-09-28,366.43,360.0,115.0,224.102564,1.948718,82.95,89.83,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.5,0.4544,31.910211267605632,1.7992,0.0,1.7992,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
184.0,2023-09-28,Rachiine,2023-09-28,263.62,260.0,102.0,256.961538,2.519231,70.815,79.57,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.5,0.512,28.3203125,1.8715,0.0,1.8715,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
185.0,2023-09-28,Rachiine,2023-09-28,259.39,260.0,103.0,204.019231,1.980769,72.39,77.22,False,False,True,0.925926,0,False,59.34,237.0,24.85,10.6,0.3754666666666666,28.23153409090909,1.5272,0.0,1.5272,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
186.0,2023-09-28,Rachiine,2023-09-28,280.19,280.0,89.0,134.926282,1.516026,72.6,78.59,False,False,True,0.925926,0,False,59.34,237.0,24.85,13.6,0.4053333333333333,33.55263157894736,1.7817,0.0,1.7817,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
187.0,2023-09-28,Rachiine,2023-09-28,474.79,460.0,139.0,251.714744,1.810897,90.005,88.87,False,False,True,0.925926,0,False,59.34,237.0,24.85,12.0,0.4778666666666666,25.111607142857142,1.9165,0.0,1.9165,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
188.0,2023-09-28,Rachiine,2023-09-28,417.4,400.0,112.0,199.230769,1.778846,85.21,86.57,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.2,0.4821333333333333,29.45243362831858,1.5036,0.0,1.5036,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
189.0,2023-09-28,Rachiine,2023-09-28,302.98,300.0,108.0,229.5,2.125,70.375,80.77,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.4,0.5290666666666666,27.217741935483872,2.4349,0.0,2.4349,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
190.0,2023-09-28,Rachiine,2023-09-28,299.24,290.0,113.0,198.836538,1.759615,75.59,83.07,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.4,0.4992,28.846153846153847,2.0561,0.0,2.0561,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
191.0,2023-09-28,Rachiine,2023-09-28,430.82,420.0,116.0,155.410256,1.339744,80.5,91.86,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.0,0.5546666666666668,25.240384615384613,1.8454,0.0,1.8454,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
192.0,2023-09-28,Rachiine,2023-09-28,289.75,280.0,109.0,155.115385,1.423077,69.19,81.17,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.4,0.5504000000000001,26.162790697674414,1.2705,0.0,1.2705,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
193.0,2023-09-28,Rachiine,2023-09-28,353.11,350.0,120.0,171.923077,1.432692,83.245,85.54,False,False,True,0.925926,0,False,59.34,237.0,24.85,11.8,0.5632,20.951704545454547,1.727,0.0,1.727,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
194.0,2023-09-28,Rachiine,2023-09-28,395.37,390.0,122.0,246.346154,2.019231,82.38,89.49,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.0,0.5290666666666666,26.461693548387096,2.2923,0.0,2.2923,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
195.0,2023-09-28,Rachiine,2023-09-28,331.96,330.0,110.0,232.692308,2.115385,69.735,78.39,False,False,True,0.925926,0,False,59.34,237.0,24.85,12.8,0.5674666666666667,22.55639097744361,2.0494,0.0,2.0494,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
196.0,2023-09-28,Rachiine,2023-09-28,408.35,400.0,117.0,266.25,2.275641,78.115,89.78,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.0,0.5248,26.67682926829268,2.2591,0.0,2.2591,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
197.0,2023-09-28,Rachiine,2023-09-28,329.25,320.0,127.0,207.920354,1.637168,77.395,84.97,False,False,True,0.925926,0,False,59.34,237.0,24.85,14.0,0.448,31.25,1.2983,0.0,1.2983,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
198.0,2023-09-28,Rachiine,2023-09-28,316.13,310.0,125.0,179.572271,1.436578,73.31,82.11,False,False,True,0.925926,0,False,59.34,237.0,24.85,15.0,0.4608,32.55208333333333,1.9033,0.0,1.9033,False,0.0,0.925925925925926,0.8888888888888888,0,0.0,0.3333333333333333
199.0,2023-09-29,ElJahliye,2023-09-28,227.62,220.0,79.0,179.20649,2.268437,63.05,74.05,True,False,False,0.925926,1,False,38.95,170.0,24.6,11.2,0.2624,42.68292682926829,2.0104,0.0,2.0104,False,0.0,0.925925925925926,0.925925925925926,1,0.25,0.3333333333333333
200.0,2023-09-29,ElJahliye,2023-09-28,194.3,190.0,73.0,139.539823,1.911504,64.19,70.38,True,False,False,0.925926,1,False,38.95,170.0,24.6,12.2,0.32,38.125,0.8511,0.0,0.8511,False,0.0,0.925925925925926,0.925925925925926,1,0.25,0.3333333333333333
201.0,2023-09-29,ElJahliye,2023-09-28,183.56,180.0,64.0,152.353982,2.380531,59.53,68.93,True,False,False,0.925926,1,False,38.95,170.0,24.6,15.0,0.32,46.875,2.6857,0.0,2.6857,False,0.0,0.925925925925926,0.925925925925926,1,0.25,0.3333333333333333
202.0,2023-09-29,ElJahliye,2023-09-28,257.44,250.0,95.0,214.660767,2.259587,69.52,75.79,True,False,False,0.925926,1,False,38.95,170.0,24.6,15.0,0.3711999999999999,40.40948275862069,3.0201,0.0,3.0201,False,0.0,0.925925925925926,0.925925925925926,1,0.25,0.3333333333333333
203.0,2023-09-29,ElJahliye,2023-09-28,160.17,160.0,58.0,145.256637,2.504425,56.055,73.09,True,False,False,0.925926,1,False,38.95,170.0,24.6,13.0,0.3392,38.3254716981132,0.0,6.39134,6.39134,True,0.0,0.925925925925926,0.925925925925926,1,0.25,0.3333333333333333
204.0,2023-09-29,ElJahliye,2023-09-28,165.7,160.0,62.0,102.967552,1.660767,60.36,68.73,True,False,False,0.925926,1,True,38.95,170.0,24.6,16.2,0.4544,35.651408450704224,1.468,0.0,1.468,False,0.0,0.925925925925926,0.925925925925926,1,0.25,0.3333333333333333
